"","Study_ID","Author_year","Paper_title","Publication_year","Journal","Country_firstAuthor","Review_type_claimed","Systematic_approach","Protocol","Meta_analysis","PFAS_focus","PFAS_one_many","MeSH_terms","Outcomes_PECOS","Outcomes","Outcome_category","Human_animal_environment","Lab_domestic_wildlife_mixed","Species_one_many","Environment_type","Study_inclusion_start","Study_inclusion_end","N_studies","Reporting_guideline","COI_statement","COI_present","Funding_statement","No_profit_funding","Industry_funding","Raw_data","Analysis_code","DOI","Species_scientific_name","Species_common_name","Class_scientific_name","PFAS_type","PFAS_abbreviations","PFAS_full_namee","PFAS_CAS_no","PFAS_group","PFAS_carbon_chain","Legacy_novel"
"4704","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Arctocephalus gazella","Antarctic fur sea","Mammal","PFBS","PFBS/ PFBuS","Perfluorobutane sulfonic acid","375-73-5","Perfluoroalkane sulfonic acids (PFSA)",4,"legacy"
"4705","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Arctocephalus gazella","Antarctic fur sea","Mammal","PFHxS","PFHxS","Perfluorohexane sulfonic acid","355-46-4","Perfluoroalkane sulfonic acids (PFSA)",6,"legacy"
"4706","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Arctocephalus gazella","Antarctic fur sea","Mammal","PFHpS","PFHpS","Perfluoroheptane sulfonic acid","375-92-8","Perfluoroalkane sulfonic acids (PFSA)",7,"legacy"
"4707","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Arctocephalus gazella","Antarctic fur sea","Mammal","PFOS","PFOS","Perfluorooctane sulfonic acid","1763-23-1","Perfluoroalkane sulfonic acids (PFSA)",8,"legacy"
"4708","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Arctocephalus gazella","Antarctic fur sea","Mammal","PFDS","PFDS","Perfluorodecane sulfonic acid","335-77-3","Perfluoroalkane sulfonic acids (PFSA)",10,"legacy"
"4709","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Arctocephalus gazella","Antarctic fur sea","Mammal","FOSA","FOSA/PFOSA","Perfluorooctanesulfonamide","754-91-6","Perfluoroalkane sulfonamides (FASAs)",8,"novel"
"4710","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Arctocephalus gazella","Antarctic fur sea","Mammal","NEtFOSA","NEtFOSA","N-ethyl perfluorooctanesulfonamide","223-980-3","Perfluoroalkane sulfonamides (FASAs)",10,"novel"
"4711","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Arctocephalus gazella","Antarctic fur sea","Mammal","NMeFOSA","NMeFOSA","N-methyl fluorooctane sulfonamide","31506-32-8","Perfluoroalkane sulfonamides (FASAs)",8,"novel"
"4712","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Neophocaena phocaenoides","Finless porpoise","Mammal","PFHxA","PFHxA","Perfluorohexanoic acid","307-24-4","Perfluoroalkyl carboxylic acids (PFCA)",6,"legacy"
"4713","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Neophocaena phocaenoides","Finless porpoise","Mammal","PFHpA","PFHpA","Perfluoroheptanoic acid","375-85-9","Perfluoroalkyl carboxylic acids (PFCA)",7,"legacy"
"4714","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Neophocaena phocaenoides","Finless porpoise","Mammal","PFOA","PFOA","Perfluorooctanoic acid","335-67-1","Perfluoroalkyl carboxylic acids (PFCA)",8,"legacy"
"4715","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Neophocaena phocaenoides","Finless porpoise","Mammal","PFNA","PFNA","Perfluorononanoic acid","375-95-1","Perfluoroalkyl carboxylic acids (PFCA)",9,"legacy"
"4716","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Neophocaena phocaenoides","Finless porpoise","Mammal","PFDA","PFDcA/ PFDeA/ PFDcA","Perfluorodecanoic acid","335-76-2","Perfluoroalkyl carboxylic acids (PFCA)",10,"legacy"
"4717","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Neophocaena phocaenoides","Finless porpoise","Mammal","PFUnDA","PFUnDA/PFUnA/ PFUA/ PFUdA","Perfluoroundecanoic acid","2058-94-8","Perfluoroalkyl carboxylic acids (PFCA)",11,"legacy"
"4718","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Neophocaena phocaenoides","Finless porpoise","Mammal","PFDoDA","PFDoA/PFDoDA","Perfluorododecanoic acid","307-55-1","Perfluoroalkyl carboxylic acids (PFCA)",12,"legacy"
"4719","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Neophocaena phocaenoides","Finless porpoise","Mammal","PFTrA","PFTrDA/ PFTriDA/ PFTrA","Perfluorotridecanoic acid","72629-94-8","Perfluoroalkyl carboxylic acids (PFCA)",13,"legacy"
"4720","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Neophocaena phocaenoides","Finless porpoise","Mammal","PFTA","PFTA/ PFTeDA/PFTeA","Perfluorotetradecanoic acid","376-06-7","Perfluoroalkyl carboxylic acids (PFCA)",14,"legacy"
"4721","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Neophocaena phocaenoides","Finless porpoise","Mammal","PFBS","PFBS/ PFBuS","Perfluorobutane sulfonic acid","375-73-5","Perfluoroalkane sulfonic acids (PFSA)",4,"legacy"
"4722","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Neophocaena phocaenoides","Finless porpoise","Mammal","PFHxS","PFHxS","Perfluorohexane sulfonic acid","355-46-4","Perfluoroalkane sulfonic acids (PFSA)",6,"legacy"
"4723","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Neophocaena phocaenoides","Finless porpoise","Mammal","PFHpS","PFHpS","Perfluoroheptane sulfonic acid","375-92-8","Perfluoroalkane sulfonic acids (PFSA)",7,"legacy"
"4724","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Neophocaena phocaenoides","Finless porpoise","Mammal","PFOS","PFOS","Perfluorooctane sulfonic acid","1763-23-1","Perfluoroalkane sulfonic acids (PFSA)",8,"legacy"
"4725","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Neophocaena phocaenoides","Finless porpoise","Mammal","PFDS","PFDS","Perfluorodecane sulfonic acid","335-77-3","Perfluoroalkane sulfonic acids (PFSA)",10,"legacy"
